SMILES,1A2,2C9,2C19,2D6,3A4
Cc1nnc(C(C)C)n1C1C[C@@H]2CC[C@H](C1)N2CC[C@H](N=C(O)C1CCC(F)(F)CC1)c1ccccc1,,,,,1.0
O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(OP(=O)(O)O)ncnc32)[C@H](O)[C@@H]1O,,,,0.0,
Clc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,,0.0,,0.0,0.0
NS(=O)(=O)c1cccc2c(O)cccc12,,,,,0.0
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,1.0,,,0.0,
CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,1.0,,,1.0,1.0
CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,1.0,,,,1.0
CC(C)C[C@](C)(N)C(=O)O,,,,,0.0
CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CCNCC1,,,,,0.0
Cc1ccc(N2CCNCC2)c(S(=O)(=O)O)c1,0.0,0.0,,,
CCCSSSC,0.0,0.0,0.0,0.0,0.0
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,,,,,0.0
C=C(C)C1CCC(C)[C@]23CCC(C)[C@@]2(C1)O3,0.0,0.0,0.0,0.0,0.0
COc1c(O)c(C)c(C/C=C(\C)CCC=C(C)C)c(O)c1OC,0.0,0.0,0.0,0.0,0.0
CN1CCN(c2ccc3nc(-c4ccc5[nH]c(-c6ccc(N(C)C)cc6)nc5c4)[nH]c3c2)CC1,,,,,0.0
