SMILES,2C19
C=C1C[C@]23CC1C(O)CC2[C@@]12CCC[C@@](C)(C(=O)OC1)C2C3C(=O)O,0.0
CSCC[C@H](N)C(O)(O)c1ccccn1,0.0
COc1cc(N)c(Cl)cc1C(O)=N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,1.0
CC(C)(O)CN=c1nc(-c2cccc(C(F)(F)F)n2)[nH]c(=Nc2ccnc(C(F)(F)F)c2)[nH]1,1.0
NC[C@@H](CO)C(=O)O,0.0
CCCCN=C=S,0.0
CC(C)CC(O)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1,1.0
Nc1ncc2cc(-c3ccccc3)c(N3CC=CC3)nc2n1,0.0
CCCC(C)(COC(N)=O)COC(N)=O,1.0
O=C(/C=C/c1ccc(O)c(O)c1)OC1C[C@@](O)(C(=O)O)CC(O)C1OC(=O)/C=C/c1ccc(O)c(O)c1,0.0
CCCSSSC,0.0
Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,0.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,0.0
CC(C)=CCC/C(C)=C\COC1OC(COC2OC(C)C(O)C(O)C2O)C(O)C(O)C1O,0.0
O=C(O)CNC(=O)c1cccc(Cl)c1,0.0
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,1.0
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.0
COCC[C@H]1CC2CN3CCc4c([nH]c5ccccc45)[C@](C(=O)OC)(C2)C13,1.0
CC#CC#CC#C/C=C/C=C/CCCOC(C)=O,0.0
CC[C@]1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,1.0
C=C1CCC(C(C)C)C2C=C(C)CCC12,0.0
CCCCCCCC/C=C/CCCCCCCCCCO,0.0
O=C(O)C(O)Cc1ccc(O)c(O)c1,0.0
O=C(O)COc1cc(Cl)ccc1C(=O)NCc1ccc(Br)cc1F,0.0
CCCC(C)(C)CC,0.0
C[C@H]1CC[C@]2(CO)CO[C@H](c3ccc(O)cc3)[C@H]1[C@H]2C,0.0
COc1ccc2c(c1)[nH]c1c(C)nccc12,1.0
CC(=O)NC1C(OC2C(O)C(CO)OC(OC(C(O)CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C=O)C2O)OC(CO)C(O)C1OC1OC(CO)C(O)C(O)C1O,0.0
C#CCCCCCCCCCCCc1ccco1,0.0
CC(C)=CCC/C(C)=C\CC/C(C)=C/CC/C=C(/C)CCC1C(C)=CCC(O)C1(C)C,0.0
